NO2,O3,PM10,PM25,date,site_code
,,13.891666666666667,,2020-02-29,BQ8
,,8.366666666666665,,2020-03-01,BQ8
,,6.462499999999999,,2020-03-02,BQ8
,,11.716666666666667,,2020-03-03,BQ8
,,11.537500000000001,,2020-03-04,BQ8
,,11.454999999999998,,2020-03-05,BQ8
,,14.737499999999999,,2020-03-06,BQ8
,,18.3,,2020-03-07,BQ8
,,8.8125,,2020-03-08,BQ8
,,9.75,,2020-03-09,BQ8
,,2.3124999999999996,,2020-03-10,BQ8
,,3.316666666666666,,2020-03-11,BQ8
,,10.820833333333333,,2020-03-12,BQ8
,,12.741666666666667,,2020-03-13,BQ8
,,7.891666666666667,,2020-03-14,BQ8
,,6.270833333333333,,2020-03-15,BQ8
,,11.545833333333333,,2020-03-16,BQ8
,,11.433333333333335,,2020-03-17,BQ8
,,9.137500000000001,,2020-03-18,BQ8
,,13.199999999999998,,2020-03-19,BQ8
,,10.6625,,2020-03-20,BQ8
,,14.5,,2020-03-21,BQ8
,,16.229166666666668,,2020-03-22,BQ8
,,23.508333333333336,,2020-03-23,BQ8
,,20.366666666666667,,2020-03-24,BQ8
,,31.799999999999997,,2020-03-25,BQ8
,,34.875,,2020-03-26,BQ8
,,34.083333333333336,,2020-03-27,BQ8
,,20.058333333333334,,2020-03-28,BQ8
,,11.108333333333333,,2020-03-29,BQ8
,,9.65,,2020-03-30,BQ8
,,14.404166666666663,,2020-03-31,BQ8
,,12.9375,,2020-04-01,BQ8
,,9.383333333333333,,2020-04-02,BQ8
,,13.058333333333335,,2020-04-03,BQ8
,,14.3375,,2020-04-04,BQ8
,,13.487500000000004,,2020-04-05,BQ8
,,9.595833333333333,,2020-04-06,BQ8
,,24.720833333333335,,2020-04-07,BQ8
,,52.224999999999994,,2020-04-08,BQ8
,,53.84166666666666,,2020-04-09,BQ8
,,44.20000000000001,,2020-04-10,BQ8
,,27.520833333333325,,2020-04-11,BQ8
,,20.554166666666667,,2020-04-12,BQ8
,,14.404166666666667,,2020-04-13,BQ8
,,13.16666666666667,,2020-04-14,BQ8
,,28.912499999999998,,2020-04-15,BQ8
,,49.0375,,2020-04-16,BQ8
,,17.70416666666667,,2020-04-17,BQ8
,,21.066666666666666,,2020-04-18,BQ8
,,13.1875,,2020-02-01,BX0
,,14.66666666666667,,2020-02-02,BX0
,,14.670833333333329,,2020-02-03,BX0
,,12.016666666666671,,2020-02-04,BX0
,,22.658333333333335,,2020-02-05,BX0
,,26.5625,,2020-02-06,BX0
,,30.745833333333334,,2020-02-07,BX0
,,15.104166666666666,,2020-02-08,BX0
,,9.945833333333333,,2020-02-09,BX0
